color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
,christopher nolan,164,448130642.0,"['action', 'thriller']",The Dark Knight Rises,2012,english,Usa,250000000.0,8.5,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164000
color,peter jackson,164,255108370.0,"['adventure', 'fantasy']",The Hobbit: The Battle of the Five Armies,2014,english,New Zealand,250000000.0,7.5,"Aidan Turner,Adam Brown,James Nesbitt",65000
color,tom hooper,158,148775460.0,"['drama', 'musical', 'romance']",Les Misérables,2012,english,Usa,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,tom hooper,158,148775460.0,"['drama', 'musical', 'romance']",Les Misérables,2012,english,Usa,61000000.0,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,kathryn bigelow,157,95720716.0,"['drama', 'history', 'thriller']",Zero Dark Thirty,2012,english,Usa,40000000.0,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
color,ridley scott,156,105219735.0,"['action', 'adventure', 'drama', 'history']",Robin Hood,2010,english,Usa,200000000.0,6.7,"Mark Addy,William Hurt,Scott Grimes",17000
color,,156,183635922.0,"['adventure', 'drama', 'thriller', 'western']",The Revenant,2015,english,Usa,135000000.0,8.1,"Leonardo DiCaprio,Tom Hardy,Lukas Haas",190000
color,michael bay,154,352358779.0,"['action', 'adventure', 'sci-fi']",Transformers: Dark of the Moon,2011,english,Usa,195000000.0,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
color,denis villeneuve,153,60962878.0,"['crime', 'drama', 'mystery', 'thriller']",Prisoners,2013,english,Usa,46000000.0,8.1,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000
color,marc webb,153,262030663.0,"['action', 'adventure', 'fantasy']",The Amazing Spider-Man,2012,english,Usa,230000000.0,7.0,"Emma Stone,Andrew Garfield,Chris Zylka",56000
color,nan,151,228430993.0,"['adventure', 'drama', 'sci-fi']",The Martian,2015,english,Usa,108000000.0,8.1,"Matt Damon,Donald Glover,Benedict Wong",153000
color,ridley scott,150,65007045.0,"['action', 'adventure', 'drama']",Exodus: Gods and Kings,2014,english,Uk,140000000.0,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
